,pid,lab,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,lf,hf,lf/hf
S10_000,S10,Base,100.35158617902607,597.8978737113403,20.91817345225839,3.9746861755245297,6.208745423742392,0.0,0.0,15.625,4.371334906242557,29.15182960281364,400.3407241019069,0.14995061942255075,0.06902263942573164,4317.830833729743,886.0331839873606,4.873215712190907
S10_001,S10,Base,101.10749185667751,593.4278350515464,19.5165062190259,4.361267153699924,6.585368987683786,0.0,0.0,11.71875,4.647473090237382,27.295106614008983,398.52131206041975,0.17026762913804136,0.12170738068330003,1633.3773290992474,646.8591131474841,2.5250897697824297
S10_002,S10,Base,101.61085725976947,590.4880798969073,18.0945528591368,5.043338192915119,7.379009698346349,0.010526315789473684,0.0,11.71875,5.2111819887502815,25.070505237432105,410.4395465327797,0.20786106779250724,0.06989585517578807,4289.566142011378,420.1173954431112,10.210398780291012
S10_003,S10,Base,102.64884568651276,584.5170454545455,18.080209739699363,4.874242282905205,6.9493367199534815,0.010309278350515464,0.0,11.71875,4.907235540865127,25.190905534412057,388.3564799921626,0.19480187141988975,0.0691826074924764,11034.009897903588,871.6152838986637,12.659266194311511
S10_004,S10,Base,103.05231770127408,582.2285353535352,17.769968298460626,4.959666339671601,7.27015727860616,0.010309278350515464,0.0,11.71875,5.14077751199515,24.74110918510085,399.574575723812,0.20778282305511744,0.0694528848992065,14116.895674133491,1392.9874275618095,10.134259214990006
S10_005,S10,Base,103.12255943001986,581.8319515306123,33.0344532563696,15.923503406685619,18.016954791269747,0.05263157894736842,0.042105263157894736,11.71875,12.711977828100245,40.677176068350704,1624.4778523530993,0.31250885771273906,0.07020746305332258,12537.521821432218,1413.765553748765,8.868176048134368
S10_006,S10,Base,102.15879174172096,587.3209635416666,37.81360957371648,17.145536412766972,20.305552213344114,0.10752688172043012,0.053763440860215055,17.578125,14.35816294765856,50.573957590319246,2281.264753336948,0.2839042786401785,0.07100255609201933,19016.67955582033,2494.3304939478285,7.623961460585057
S10_007,S10,Base,99.91280880215902,600.5236037234042,60.50510509025877,29.360196846981047,33.19870587107912,0.17582417582417584,0.07692307692307693,21.484375,23.474539461455823,82.24994532364519,6065.722966856486,0.28540492481892715,0.08864619530529749,97096.09073895335,9891.168129351134,9.816443262230033
S10_008,S10,Base,99.19208573784007,604.8869680851063,61.253775547575515,29.303281725615463,33.188602795412706,0.16483516483516486,0.07692307692307693,27.34375,23.466924242633482,83.03952701616502,6121.965965289876,0.28259944493741224,0.07040270346381301,242032.54579530802,28644.52729596404,8.449521379583384
S10_009,S10,Base,97.24864083683158,616.9752038043479,59.59950931202034,29.477134302847656,33.80376767471816,0.1797752808988764,0.07865168539325842,27.34375,23.902853204531546,80.10756131278592,6015.519346850999,0.2983844822238575,0.08815543566416305,264398.4108080661,34320.99133107806,7.703693878115062
